order_id,state,status,delivery_days,delivery_status
ORD000327,Pune,delivered,8.0,Late
ORD000330,Gujarat,delivered,4.0,On Time
ORD000334,Karnataka,delivered,2.0,On Time
ORD000337,Karnataka,delivered,6.0,On Time
ORD000339,Pune,delivered,15.0,Late
ORD000342,Tamil Nadu,delivered,8.0,On Time
ORD000343,Odisha,delivered,7.0,Late
ORD000347,Kerala,delivered,13.0,Late
ORD000348,Gujarat,delivered,8.0,Late
ORD000351,Madhya Pradesh,delivered,9.0,Late
ORD000353,Bihar,delivered,8.0,On Time
ORD000354,Maharashtra,delivered,6.0,On Time
ORD000355,Haryana,delivered,11.0,Late
ORD000357,Odisha,delivered,14.0,Late
ORD000363,Gujarat,delivered,2.0,On Time
ORD000365,Haryana,delivered,10.0,Late
ORD000366,Tamil Nadu,delivered,13.0,Late
ORD000367,Pune,delivered,4.0,On Time
ORD000369,Bihar,delivered,4.0,On Time
ORD000371,Kerala,delivered,14.0,Late
ORD000374,Gujarat,delivered,11.0,Late
ORD000377,Rajasthan,delivered,7.0,Late
ORD000378,Telangana,delivered,11.0,Late
ORD000379,Maharashtra,delivered,11.0,Late
ORD000381,Karnataka,delivered,6.0,Late
ORD000382,Bihar,delivered,15.0,Late
ORD000383,Karnataka,delivered,11.0,Late
ORD000384,Odisha,delivered,14.0,Late
ORD000385,Gujarat,delivered,6.0,Late
ORD000386,Telangana,delivered,12.0,Late
ORD000388,West Bengal,delivered,12.0,Late
ORD000389,Gujarat,delivered,12.0,Late
ORD000392,Haryana,delivered,12.0,Late
ORD000393,Karnataka,delivered,10.0,Late
ORD000395,Delhi,delivered,7.0,Late
ORD000396,Kerala,delivered,13.0,Late
ORD000397,Madhya Pradesh,delivered,10.0,Late
ORD000400,Pune,delivered,7.0,Late
ORD000401,Karnataka,delivered,5.0,Late
ORD000402,Pune,delivered,6.0,On Time
ORD000403,Telangana,delivered,7.0,On Time
ORD000405,Bihar,delivered,10.0,Late
ORD000407,Madhya Pradesh,delivered,6.0,Late
ORD000410,Odisha,delivered,5.0,On Time
ORD000412,West Bengal,delivered,6.0,Late
ORD000414,Karnataka,delivered,7.0,Late
ORD000417,Tamil Nadu,delivered,9.0,Late
ORD000419,Rajasthan,delivered,5.0,Late
ORD000421,Karnataka,delivered,6.0,Late
ORD000422,Tamil Nadu,delivered,10.0,Late
ORD000423,Uttar Pradesh,delivered,5.0,On Time
ORD000429,Uttar Pradesh,delivered,14.0,Late
ORD000431,Karnataka,delivered,5.0,On Time
ORD000432,Karnataka,delivered,11.0,Late
ORD000434,West Bengal,delivered,10.0,On Time
ORD000435,Madhya Pradesh,delivered,4.0,On Time
ORD000436,Haryana,delivered,8.0,Late
ORD000439,Delhi,delivered,4.0,Late
ORD000441,Gujarat,delivered,12.0,Late
ORD000445,Kerala,delivered,6.0,Late
ORD000446,West Bengal,delivered,7.0,On Time
ORD000447,Bihar,delivered,10.0,On Time
ORD000452,Rajasthan,delivered,12.0,Late
ORD000453,Pune,delivered,13.0,Late
ORD000455,Tamil Nadu,delivered,6.0,Late
ORD000456,Madhya Pradesh,delivered,13.0,Late
ORD000457,Tamil Nadu,delivered,11.0,Late
ORD000458,Odisha,delivered,4.0,On Time
ORD000459,Pune,delivered,6.0,On Time
ORD000460,Delhi,delivered,12.0,Late
ORD000466,Madhya Pradesh,delivered,8.0,On Time
ORD000470,Madhya Pradesh,delivered,3.0,On Time
ORD000473,Kerala,delivered,4.0,On Time
ORD000481,Haryana,delivered,13.0,Late
ORD000482,Haryana,delivered,5.0,On Time
ORD000484,Karnataka,delivered,9.0,Late
ORD000485,Kerala,delivered,8.0,On Time
ORD000486,Kerala,delivered,5.0,On Time
ORD000487,Delhi,delivered,9.0,Late
ORD000491,Kerala,delivered,5.0,On Time
ORD000493,Odisha,delivered,12.0,Late
ORD000495,Haryana,delivered,9.0,On Time
ORD000496,Karnataka,delivered,3.0,On Time
ORD000502,Pune,delivered,10.0,Late
ORD000503,Rajasthan,delivered,9.0,Late
ORD000508,West Bengal,delivered,7.0,Late
ORD000509,Rajasthan,delivered,14.0,Late
ORD000512,Gujarat,delivered,15.0,Late
ORD000515,Kerala,delivered,4.0,On Time
ORD000516,Gujarat,delivered,8.0,Late
ORD000518,Madhya Pradesh,delivered,9.0,Late
ORD000521,West Bengal,delivered,6.0,Late
ORD000523,Rajasthan,delivered,4.0,Late
ORD000525,Maharashtra,delivered,2.0,On Time
ORD000528,Delhi,delivered,7.0,Late
ORD000530,Haryana,delivered,7.0,Late
ORD000532,Telangana,delivered,14.0,Late
ORD000534,Maharashtra,delivered,7.0,On Time
ORD000535,Gujarat,delivered,10.0,Late
ORD000536,Kerala,delivered,9.0,Late
ORD000538,Delhi,delivered,8.0,On Time
ORD000539,Kerala,delivered,14.0,Late
ORD000540,Madhya Pradesh,delivered,9.0,Late
ORD000541,Tamil Nadu,delivered,11.0,Late
ORD000545,Tamil Nadu,delivered,11.0,Late
ORD000546,Odisha,delivered,1.0,On Time
ORD000547,Tamil Nadu,delivered,6.0,On Time
ORD000550,Tamil Nadu,delivered,7.0,Late
ORD000554,Rajasthan,delivered,8.0,On Time
ORD000555,Haryana,delivered,7.0,On Time
ORD000556,Bihar,delivered,9.0,Late
ORD000564,Maharashtra,delivered,6.0,On Time
ORD000566,Pune,delivered,13.0,Late
ORD000567,Uttar Pradesh,delivered,8.0,Late
ORD000568,Odisha,delivered,7.0,On Time
ORD000569,Karnataka,delivered,7.0,Late
ORD000570,Telangana,delivered,10.0,Late
ORD000572,Pune,delivered,12.0,Late
ORD000576,Madhya Pradesh,delivered,11.0,Late
ORD000577,Tamil Nadu,delivered,6.0,On Time
ORD000579,Karnataka,delivered,3.0,On Time
ORD000580,Maharashtra,delivered,11.0,Late
ORD000582,Pune,delivered,7.0,Late
ORD000583,Tamil Nadu,delivered,8.0,Late
ORD000587,Delhi,delivered,13.0,Late
ORD000592,Telangana,delivered,8.0,On Time
ORD000597,Madhya Pradesh,delivered,8.0,On Time
ORD000598,Tamil Nadu,delivered,10.0,Late
ORD000599,Bihar,delivered,13.0,Late
ORD000600,Karnataka,delivered,10.0,Late
ORD000601,Uttar Pradesh,delivered,6.0,Late
ORD000602,Bihar,delivered,11.0,Late
ORD000605,Telangana,delivered,8.0,On Time
ORD000608,Odisha,delivered,4.0,Late
ORD000610,Rajasthan,delivered,8.0,On Time
ORD000611,Gujarat,delivered,9.0,On Time
ORD000613,Pune,delivered,4.0,On Time
ORD000618,Pune,delivered,10.0,On Time
ORD000619,Maharashtra,delivered,7.0,Late
ORD000620,Bihar,delivered,8.0,Late
ORD000621,Bihar,delivered,4.0,On Time
ORD000622,Karnataka,delivered,12.0,Late
ORD000625,Tamil Nadu,delivered,9.0,Late
ORD000626,Gujarat,delivered,13.0,Late
ORD000628,Kerala,delivered,11.0,Late
ORD000630,Gujarat,delivered,7.0,Late
ORD000631,Haryana,delivered,11.0,Late
ORD000633,Kerala,delivered,9.0,Late
ORD000636,Delhi,delivered,2.0,On Time
ORD000637,West Bengal,delivered,9.0,On Time
ORD000638,Kerala,delivered,6.0,Late
ORD000639,Telangana,delivered,13.0,Late
ORD000641,Madhya Pradesh,delivered,6.0,On Time
ORD000642,Kerala,delivered,7.0,On Time
ORD000643,Tamil Nadu,delivered,8.0,On Time
ORD000644,Haryana,delivered,8.0,On Time
ORD000645,Tamil Nadu,delivered,12.0,Late
ORD000646,Odisha,delivered,5.0,On Time
ORD000648,Rajasthan,delivered,3.0,On Time
ORD000649,Karnataka,delivered,14.0,Late
ORD000652,Pune,delivered,6.0,Late
ORD000659,Uttar Pradesh,delivered,7.0,Late
ORD000662,Bihar,delivered,13.0,Late
ORD000665,Karnataka,delivered,12.0,Late
ORD000668,Rajasthan,delivered,3.0,On Time
ORD000675,Maharashtra,delivered,9.0,On Time
ORD000679,Tamil Nadu,delivered,8.0,On Time
ORD000680,Pune,delivered,11.0,Late
ORD000685,Haryana,delivered,8.0,On Time
ORD000687,Odisha,delivered,7.0,On Time
ORD000690,Kerala,delivered,8.0,Late
ORD000692,Haryana,delivered,4.0,On Time
ORD000695,Uttar Pradesh,delivered,8.0,Late
ORD000701,West Bengal,delivered,9.0,Late
ORD000706,Telangana,delivered,5.0,Late
ORD000708,Haryana,delivered,7.0,On Time
ORD000710,Madhya Pradesh,delivered,7.0,Late
ORD000711,Karnataka,delivered,12.0,Late
ORD000713,West Bengal,delivered,8.0,On Time
ORD000716,Tamil Nadu,delivered,9.0,On Time
ORD000717,Uttar Pradesh,delivered,9.0,Late
ORD000718,Karnataka,delivered,13.0,Late
ORD000721,Tamil Nadu,delivered,9.0,On Time
ORD000722,Gujarat,delivered,6.0,Late
ORD000723,Rajasthan,delivered,8.0,Late
ORD000725,Pune,delivered,8.0,Late
ORD000727,Odisha,delivered,5.0,On Time
ORD000728,Telangana,delivered,12.0,Late
ORD000729,Pune,delivered,11.0,Late
ORD000730,Pune,delivered,7.0,Late
ORD000732,Maharashtra,delivered,8.0,On Time
ORD000738,Telangana,delivered,12.0,Late
ORD000740,Telangana,delivered,8.0,Late
ORD000741,Delhi,delivered,10.0,Late
ORD000742,Delhi,delivered,11.0,Late
ORD000746,Tamil Nadu,delivered,6.0,Late
ORD000747,Gujarat,delivered,4.0,On Time
ORD000751,Odisha,delivered,8.0,Late
ORD000752,Karnataka,delivered,10.0,On Time
ORD000756,Bihar,delivered,8.0,On Time
ORD000758,Madhya Pradesh,delivered,4.0,On Time
ORD000759,Odisha,delivered,12.0,Late
ORD000760,Odisha,delivered,8.0,On Time
ORD000762,Odisha,delivered,9.0,Late
ORD000767,Telangana,delivered,6.0,On Time
ORD000771,Delhi,delivered,3.0,On Time
ORD000772,Delhi,delivered,14.0,Late
ORD000775,Telangana,delivered,7.0,Late
ORD000776,Uttar Pradesh,delivered,6.0,On Time
ORD000779,Odisha,delivered,9.0,On Time
ORD000781,Uttar Pradesh,delivered,12.0,Late
ORD000784,Madhya Pradesh,delivered,3.0,On Time
ORD000785,Gujarat,delivered,6.0,On Time
ORD000788,West Bengal,delivered,9.0,Late
ORD000790,Kerala,delivered,5.0,Late
ORD000792,Karnataka,delivered,7.0,Late
ORD000793,Bihar,delivered,13.0,Late
ORD000795,Odisha,delivered,3.0,On Time
ORD000796,Odisha,delivered,6.0,On Time
ORD000799,Tamil Nadu,delivered,4.0,On Time
ORD000800,Tamil Nadu,delivered,8.0,On Time
ORD000802,Bihar,delivered,11.0,Late
ORD000803,Uttar Pradesh,delivered,6.0,On Time
ORD000804,Rajasthan,delivered,12.0,Late
ORD000807,Gujarat,delivered,11.0,Late
ORD000808,Uttar Pradesh,delivered,7.0,On Time
ORD000809,Karnataka,delivered,2.0,On Time
ORD000810,Delhi,delivered,12.0,Late
ORD000811,West Bengal,delivered,3.0,On Time
ORD000813,Rajasthan,delivered,11.0,Late
ORD000814,Tamil Nadu,delivered,4.0,On Time
ORD000815,Gujarat,delivered,5.0,Late
ORD000817,Delhi,delivered,10.0,Late
ORD000820,Odisha,delivered,7.0,On Time
ORD000821,Telangana,delivered,8.0,Late
ORD000822,Karnataka,delivered,3.0,On Time
ORD000823,Gujarat,delivered,2.0,On Time
ORD000824,Delhi,delivered,10.0,Late
ORD000825,Delhi,delivered,12.0,Late
ORD000829,Bihar,delivered,8.0,On Time
ORD000832,Tamil Nadu,delivered,11.0,Late
ORD000836,Telangana,delivered,4.0,On Time
ORD000837,Haryana,delivered,10.0,Late
ORD000838,Telangana,delivered,8.0,On Time
ORD000839,Uttar Pradesh,delivered,14.0,Late
ORD000840,Karnataka,delivered,3.0,On Time
ORD000841,Haryana,delivered,6.0,On Time
ORD000842,Madhya Pradesh,delivered,9.0,Late
ORD000848,Maharashtra,delivered,10.0,Late
ORD000850,Odisha,delivered,8.0,Late
ORD000851,Bihar,delivered,10.0,Late
ORD000854,Telangana,delivered,9.0,Late
ORD000856,Haryana,delivered,7.0,Late
ORD000857,Odisha,delivered,4.0,Late
ORD000858,Karnataka,delivered,3.0,On Time
ORD000859,Tamil Nadu,delivered,12.0,Late
ORD000863,Kerala,delivered,5.0,Late
ORD000864,Uttar Pradesh,delivered,9.0,Late
ORD000866,Gujarat,delivered,9.0,On Time
ORD000869,Tamil Nadu,delivered,8.0,Late
ORD000871,Delhi,delivered,6.0,Late
ORD000873,Karnataka,delivered,5.0,On Time
ORD000878,Gujarat,delivered,6.0,On Time
ORD000879,Karnataka,delivered,6.0,On Time
ORD000885,Karnataka,delivered,8.0,Late
ORD000886,Bihar,delivered,2.0,On Time
ORD000889,Odisha,delivered,6.0,Late
ORD000890,Karnataka,delivered,8.0,Late
ORD000891,Madhya Pradesh,delivered,12.0,Late
ORD000893,Bihar,delivered,10.0,Late
ORD000894,Gujarat,delivered,8.0,Late
ORD000896,Uttar Pradesh,delivered,9.0,Late
ORD000899,Rajasthan,delivered,12.0,Late
ORD000904,Bihar,delivered,14.0,Late
ORD000905,Rajasthan,delivered,8.0,On Time
ORD000908,Tamil Nadu,delivered,5.0,Late
ORD000912,Telangana,delivered,6.0,Late
ORD000914,Haryana,delivered,14.0,Late
ORD000916,Pune,delivered,8.0,Late
ORD000917,Madhya Pradesh,delivered,11.0,Late
ORD000919,Delhi,delivered,11.0,Late
ORD000920,Karnataka,delivered,3.0,On Time
ORD000921,Maharashtra,delivered,11.0,Late
ORD000922,Uttar Pradesh,delivered,7.0,On Time
ORD000923,Tamil Nadu,delivered,12.0,Late
ORD000924,Tamil Nadu,delivered,9.0,Late
ORD000926,Pune,delivered,10.0,Late
ORD000927,Pune,delivered,8.0,On Time
ORD000928,Gujarat,delivered,9.0,Late
ORD000931,Gujarat,delivered,10.0,Late
ORD000936,Gujarat,delivered,7.0,Late
ORD000937,Madhya Pradesh,delivered,7.0,On Time
ORD000938,Maharashtra,delivered,5.0,Late
ORD000945,Haryana,delivered,12.0,Late
ORD000946,Uttar Pradesh,delivered,7.0,On Time
ORD000947,Bihar,delivered,9.0,Late
ORD000949,Haryana,delivered,3.0,On Time
ORD000951,Karnataka,delivered,14.0,Late
ORD000952,Rajasthan,delivered,10.0,Late
ORD000953,Uttar Pradesh,delivered,11.0,Late
ORD000954,Delhi,delivered,11.0,Late
ORD000957,Madhya Pradesh,delivered,12.0,Late
ORD000958,Bihar,delivered,8.0,Late
ORD000959,West Bengal,delivered,5.0,On Time
ORD000964,Maharashtra,delivered,12.0,Late
ORD000966,Rajasthan,delivered,12.0,Late
ORD000967,Bihar,delivered,7.0,On Time
ORD000972,Maharashtra,delivered,7.0,Late
ORD000975,Kerala,delivered,10.0,Late
ORD000976,Madhya Pradesh,delivered,9.0,Late
ORD000977,Maharashtra,delivered,12.0,Late
ORD000980,Maharashtra,delivered,11.0,Late
ORD000981,Rajasthan,delivered,11.0,Late
ORD000982,Pune,delivered,6.0,On Time
ORD000985,Karnataka,delivered,10.0,Late
ORD000988,Tamil Nadu,delivered,8.0,Late
ORD000989,Uttar Pradesh,delivered,9.0,Late
ORD000991,Tamil Nadu,delivered,3.0,On Time
ORD000992,Karnataka,delivered,6.0,On Time
ORD000994,Delhi,delivered,8.0,On Time
ORD000995,Tamil Nadu,delivered,3.0,On Time
ORD000997,Uttar Pradesh,delivered,7.0,Late
ORD000998,Maharashtra,delivered,6.0,On Time
ORD000999,Maharashtra,delivered,12.0,Late
ORD001002,West Bengal,delivered,5.0,Late
ORD001006,Uttar Pradesh,delivered,3.0,On Time
ORD001007,Uttar Pradesh,delivered,8.0,Late
ORD001008,Pune,delivered,3.0,On Time
ORD001009,Kerala,delivered,9.0,Late
ORD001011,Kerala,delivered,1.0,On Time
ORD001012,Bihar,delivered,6.0,On Time
ORD001013,Pune,delivered,11.0,Late
ORD001014,Uttar Pradesh,delivered,13.0,Late
ORD001016,Rajasthan,delivered,6.0,On Time
ORD001017,Delhi,delivered,6.0,Late
ORD001018,Pune,delivered,7.0,Late
ORD001019,West Bengal,delivered,4.0,On Time
ORD001021,Odisha,delivered,6.0,Late
ORD001023,Madhya Pradesh,delivered,7.0,On Time
ORD001025,Madhya Pradesh,delivered,7.0,On Time
ORD001026,Odisha,delivered,8.0,Late
ORD001027,Maharashtra,delivered,6.0,On Time
ORD001028,Telangana,delivered,12.0,Late
ORD001031,Gujarat,delivered,14.0,Late
ORD001032,West Bengal,delivered,10.0,Late
ORD001033,Bihar,delivered,10.0,Late
ORD001034,Pune,delivered,8.0,Late
ORD001036,Maharashtra,delivered,6.0,On Time
ORD001037,Kerala,delivered,10.0,Late
ORD001039,Maharashtra,delivered,10.0,Late
ORD001040,Pune,delivered,11.0,Late
ORD001044,Rajasthan,delivered,7.0,Late
ORD001045,West Bengal,delivered,5.0,On Time
ORD001047,Kerala,delivered,10.0,Late
ORD001049,Pune,delivered,3.0,On Time
ORD001051,Tamil Nadu,delivered,10.0,Late
ORD001052,Odisha,delivered,9.0,Late
ORD001053,Odisha,delivered,6.0,Late
ORD001055,Telangana,delivered,8.0,Late
ORD001056,Haryana,delivered,11.0,Late
ORD001062,Tamil Nadu,delivered,10.0,Late
ORD001063,Odisha,delivered,8.0,Late
ORD001064,Tamil Nadu,delivered,6.0,On Time
ORD001066,Madhya Pradesh,delivered,11.0,Late
ORD001067,Gujarat,delivered,7.0,Late
ORD001071,Rajasthan,delivered,6.0,Late
ORD001074,Maharashtra,delivered,4.0,On Time
ORD001077,Bihar,delivered,12.0,Late
ORD001079,Bihar,delivered,9.0,Late
ORD001081,Maharashtra,delivered,7.0,Late
ORD001082,Odisha,delivered,14.0,Late
ORD001084,Maharashtra,delivered,4.0,Late
ORD001085,Haryana,delivered,5.0,On Time
ORD001089,Pune,delivered,8.0,On Time
ORD001092,Kerala,delivered,8.0,Late
ORD001093,Tamil Nadu,delivered,7.0,Late
ORD001096,Telangana,delivered,15.0,Late
ORD001100,Rajasthan,delivered,3.0,On Time
ORD001104,Tamil Nadu,delivered,5.0,Late
ORD001106,Bihar,delivered,5.0,On Time
ORD001107,West Bengal,delivered,6.0,Late
ORD001108,Rajasthan,delivered,9.0,On Time
ORD001109,Uttar Pradesh,delivered,11.0,Late
ORD001110,West Bengal,delivered,5.0,Late
ORD001111,West Bengal,delivered,8.0,On Time
ORD001114,Kerala,delivered,10.0,Late
ORD001119,Madhya Pradesh,delivered,8.0,On Time
ORD001120,Odisha,delivered,13.0,Late
ORD001124,Tamil Nadu,delivered,4.0,Late
ORD001125,Telangana,delivered,5.0,On Time
ORD001126,Gujarat,delivered,8.0,Late
ORD001127,Telangana,delivered,9.0,Late
ORD001128,Odisha,delivered,1.0,On Time
ORD001130,Tamil Nadu,delivered,7.0,On Time
ORD001131,Delhi,delivered,6.0,Late
ORD001133,Delhi,delivered,5.0,Late
ORD001134,Kerala,delivered,15.0,Late
ORD001138,Telangana,delivered,8.0,On Time
ORD001143,Delhi,delivered,4.0,Late
ORD001145,Telangana,delivered,9.0,Late
ORD001146,Pune,delivered,12.0,Late
ORD001147,Tamil Nadu,delivered,2.0,On Time
ORD001149,Bihar,delivered,1.0,On Time
ORD001150,Uttar Pradesh,delivered,10.0,On Time
ORD001151,Haryana,delivered,8.0,On Time
ORD001152,Tamil Nadu,delivered,11.0,Late
ORD001154,Gujarat,delivered,9.0,On Time
ORD001157,Gujarat,delivered,9.0,Late
ORD001160,Kerala,delivered,13.0,Late
ORD001161,Odisha,delivered,8.0,Late
ORD001162,West Bengal,delivered,8.0,Late
ORD001165,Tamil Nadu,delivered,6.0,Late
ORD001167,West Bengal,delivered,7.0,On Time
ORD001168,Madhya Pradesh,delivered,12.0,Late
ORD001174,Bihar,delivered,2.0,On Time
ORD001175,Haryana,delivered,9.0,Late
ORD001176,West Bengal,delivered,6.0,Late
ORD001177,Odisha,delivered,1.0,On Time
ORD001179,Pune,delivered,10.0,Late
ORD001183,Odisha,delivered,12.0,Late
ORD001191,Telangana,delivered,13.0,Late
ORD001193,Gujarat,delivered,9.0,Late
ORD001195,Bihar,delivered,10.0,Late
ORD001196,Maharashtra,delivered,11.0,Late
ORD001197,Bihar,delivered,7.0,On Time
ORD001198,Bihar,delivered,5.0,On Time
ORD001201,Telangana,delivered,10.0,On Time
ORD001204,Maharashtra,delivered,13.0,Late
ORD001205,Rajasthan,delivered,8.0,Late
ORD001206,Odisha,delivered,6.0,On Time
ORD001207,Uttar Pradesh,delivered,3.0,On Time
ORD001209,Madhya Pradesh,delivered,12.0,Late
